"id","code","name","user_type_id:id","reconcile","chart_template_id:id"
"t643",643,"Komisyon Gelirleri","account.data_account_type_revenue","FALSE","l10n_tr_chart.tr_chart_template"
"t644",644,"Konusu Kalmayan Karşılıklar","account.data_account_type_revenue","FALSE","l10n_tr_chart.tr_chart_template"
"t649",649,"Faaliyetle İlgili Diğer Gelir ve Kârlar","account.data_account_type_revenue","FALSE","l10n_tr_chart.tr_chart_template"
"t652",652,"Reeskont Faiz Giderleri (-)","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t653",653,"Komisyon Giderleri (-)","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t654",654,"Karşılık Giderleri (-)","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t659",659,"Diğer Gider Ve Zararlar (-)","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t660",660,"Kısa Vadeli Borçlanma Giderleri (-)","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t661",661,"Uzun Vadeli Borçlanma Giderleri (-)","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t671",671,"Önceki Dönem Gelir Ve Kârları","account.data_account_type_revenue","FALSE","l10n_tr_chart.tr_chart_template"
"t679",679,"Diğer Olağan Dışı Gelir Ve Kârlar","account.data_account_type_revenue","FALSE","l10n_tr_chart.tr_chart_template"
"t680",680,"Çalışmayan Kısım Gider Ve Zararları (-)","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t681",681,"Önceki Dönem Gider Ve Zararları (-)","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t689",689,"Diğer Olağan Dışı Gider Ve Zararlar (-)","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t690",690,"Dönem Kârı Veya Zararı","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t691",691,"Dönem Kârı Vergi Ve Diğer Yasal Yükümlülük Karşılıkları (-)","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t692",692,"Dönem Net Kârı Veya Zararı","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t700",700,"Maliyet Muhasebesi Bağlantı Hesabı","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t701",701,"Maliyet Muhasebesi Yansıtma Hesabı","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t710",710,"Direkt İlk Madde Ve Malzeme Giderleri Hesabı","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t711",711,"Direkt İlk Madde Ve Malzeme Yansıtma Hesabı","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t712",712,"Direkt İlk Madde Ve Malzeme Fiyat Farkı","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t713",713,"Direkt İlk Madde Ve Malzeme Miktar Farkı","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t720",720,"Direkt İşçilik Giderleri","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t721",721,"Direkt İşçilik Giderleri Yansıtma Hesabı","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t722",722,"Direkt İşçilik Ücret Farkları","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t723",723,"Direkt İşçilik Süre Farkları","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t730",730,"Genel Üretim Giderleri","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t731",731,"Genel Üretim Giderleri Yansıtma Hesabı","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t732",732,"Genel Üretim Giderleri Bütçe Farkları","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t733",733,"Genel Üretim Giderleri Verimlilik Giderleri","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t734",734,"Genel Üretim Giderleri Kapasite Farkları","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t740",740,"Hizmet Üretim Maliyeti","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t741",741,"Hizmet Üretim Maliyeti Yansıtma Hesabı","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
